"game","language","name","setCode","reason"
"POKEMON_JAPAN","en","XY5-Bt: Tidal Storm","XY5-Bt","no_jp_set_logo_mapping"
"POKEMON","ja","XY5-Bg: Gaia Volcano","XY5-Bg","no_jp_set_logo_mapping"
"POKEMON","ja","XY5-Bt: Tidal Storm","XY5-Bt","no_jp_set_logo_mapping"
"POKEMON","ja","XYA: M Charizard-EX Mega Battle Deck","XYA","no_jp_set_logo_mapping"
"POKEMON","ja","Xerneas Half Deck","X30","no_jp_set_logo_mapping"
"POKEMON","ja","Yveltal Half Deck","Y30","no_jp_set_logo_mapping"
"POKEMON","ja","XY-Bx: Collection X","XY-Bx","no_jp_set_logo_mapping"
"POKEMON","ja","XY-By: Collection Y","XY-By","no_jp_set_logo_mapping"
"POKEMON","ja","XY-P: XY Promos","XY-P","no_jp_set_logo_mapping"
"POKEMON","ja","Mewtwo vs Genesect Deck Kit (Genesect)","MG","no_jp_set_logo_mapping"
"POKEMON","ja","Mewtwo vs Genesect Deck Kit (Mewtwo)","MG","no_jp_set_logo_mapping"
"POKEMON","ja","Blastoise + Kyurem-EX Combo Deck","K+K","no_jp_set_logo_mapping"
"POKEMON","ja","Everyone's Exciting Battle","WAK","no_jp_set_logo_mapping"
"POKEMON","ja","BKB: Black Kyurem-EX Battle Strength Deck","BKB","no_jp_set_logo_mapping"
"POKEMON","ja","BKW: White Kyurem-EX Battle Strength Deck","BKW","no_jp_set_logo_mapping"
"POKEMON","ja","Master Deck Build Box EX","MDB","no_jp_set_logo_mapping"
"POKEMON","ja","Team Plasma's Powered Half Deck","PPD","no_jp_set_logo_mapping"
"POKEMON","ja","Keldeo Battle Strength Deck","KLD","no_jp_set_logo_mapping"
"POKEMON","ja","Garchomp Half Deck","GBR","no_jp_set_logo_mapping"
"POKEMON","ja","Hydreigon Half Deck","SZD","no_jp_set_logo_mapping"
"POKEMON","ja","Battle Gift Set: Thundurus vs Tornadus","BGS","no_jp_set_logo_mapping"
"POKEMON","ja","BKR: Reshiram-EX Battle Strength Deck","BKR","no_jp_set_logo_mapping"
"POKEMON","ja","BKZ: Zekrom-EX Battle Strength Deck","BKZ","no_jp_set_logo_mapping"
"POKEMON","ja","Battle Theme Deck: Victini","BTV","no_jp_set_logo_mapping"
"POKEMON","ja","BK: Cobalion Battle Strength Deck","BK","no_jp_set_logo_mapping"
"POKEMON","ja","BK: Terrakion Battle Strength Deck","BK","no_jp_set_logo_mapping"
"POKEMON","ja","BK: Virizion Battle Strength Deck","BK","no_jp_set_logo_mapping"
"POKEMON","ja","BW-P Promotional cards","BW-P","no_jp_set_logo_mapping"
"POKEMON","ja","L-P: Legends Promos","L-P","no_jp_set_logo_mapping"
"POKEMON","ja","Movie Commemoration Random Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Melee! Pokemon Scramble","","no_jp_set_logo_mapping"
"POKEMON","ja","PtM: Mewtwo LV.X Collection Pack","PtM","no_jp_set_logo_mapping"
"POKEMON","ja","PtR: Regigigas LV.X Collection Pack","PtR","no_jp_set_logo_mapping"
"POKEMON","ja","PtS: Shaymin LV.X Collection Pack","PtS","no_jp_set_logo_mapping"
"POKEMON","ja","Entry Pack DPt (Dialga)","","no_jp_set_logo_mapping"
"POKEMON","ja","Entry Pack DPt (Giratina)","","no_jp_set_logo_mapping"
"POKEMON","ja","Entry Pack DPt (Palkia)","","no_jp_set_logo_mapping"
"POKEMON","ja","DPt-P Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Giratina vs Dialga Deck Kit (Dialga)","","no_jp_set_logo_mapping"
"POKEMON","ja","Giratina vs Dialga Deck Kit (Giratina)","","no_jp_set_logo_mapping"
"POKEMON","ja","DP-P Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","DP1: Space-Time Creation","DP1","no_jp_set_logo_mapping"
"POKEMON","ja","Entry Pack","DP1","no_jp_set_logo_mapping"
"POKEMON","ja","Movie Commemoration VS Pack: Sea's Manaphy","","no_jp_set_logo_mapping"
"POKEMON","ja","Imprison! Gardevoir ex Constructed Standard Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Shockwave! Tyranitar ex Constructed Standard Deck","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Ocean's Kyogre ex Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Earth's Groudon ex Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Ocean's Kyogre ex Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Trainer Prize Cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box Mew - Lucario (Crawdaunt Quarter Deck)","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box Mew - Lucario (Lucario Quarter Deck)","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box Mew - Lucario (Mew Quarter Deck)","","no_jp_set_logo_mapping"
